generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end
248,118.28,307,32,1.92,3,48,5.88,7.78,4.0,11.2,0,25
249,144.3,341,39,1.96,3,49,5.5,7.16,4.04,10.88,0,25
250,149.36,398,67,2.0,4,50,5.3,6.2,3.96,10.92,0,25
251,138.9,305,51,1.96,4,49,5.46,6.2,4.0,10.52,0,25
252,114.36,323,43,2.0,3,50,5.46,5.94,4.0,10.6,0,25
253,143.38,378,61,1.84,3,46,5.44,5.54,4.0,10.68,0,25
254,128.76,268,30,1.96,3,49,5.12,4.92,4.04,10.32,0,25
255,138.46,384,32,2.0,3,50,4.88,4.36,4.28,11.64,0,25
256,141.1,303,36,1.84,3,46,4.7,3.98,4.6,11.96,0,25
257,141.18,385,32,1.92,3,48,4.68,4.26,4.56,11.16,0,25
258,121.82,302,34,1.92,3,48,4.44,3.66,4.56,11.8,0,25
259,135.0,289,38,1.88,3,47,4.24,3.16,4.44,10.56,0,25
260,157.0,374,40,1.76,3,44,4.0,2.68,4.12,9.96,0,25
261,137.42,297,37,1.92,3,48,3.96,2.46,4.08,9.68,0,25
262,117.48,239,36,2.0,3,50,3.9,2.4,4.04,9.92,0,25
263,150.42,335,37,1.96,3,49,4.0,2.62,4.0,9.64,0,25
264,155.8,285,36,1.76,3,44,4.04,2.96,3.88,9.28,0,25
265,125.8,278,37,1.96,3,49,4.02,2.58,3.8,9.32,0,25
266,151.1,299,47,1.96,3,49,4.02,2.52,4.04,9.96,0,25
267,114.58,313,52,2.0,3,50,3.9,2.4,4.28,10.88,0,25
268,144.62,290,33,1.8,4,45,3.92,2.44,4.48,11.24,0,25
269,131.82,284,40,1.96,3,49,3.88,2.54,4.68,11.68,0,25
270,129.48,331,39,1.96,3,49,3.62,2.42,4.0,10.16,0,25
271,136.96,328,35,1.92,3,48,3.66,2.52,4.0,10.2,0,25
272,132.8,362,45,1.96,3,49,3.8,2.72,3.88,10.36,0,25
273,132.9,266,34,1.92,3,48,3.86,3.18,4.0,10.44,0,25
274,138.54,390,50,1.88,3,47,3.98,3.3,4.0,10.16,0,25
275,170.56,305,34,1.76,3,44,3.94,3.28,4.0,10.24,0,25
276,148.38,343,33,2.0,3,50,4.12,3.92,4.0,10.12,0,25
277,144.66,303,40,1.8,3,45,3.8,3.52,4.04,10.6,0,25
278,131.84,265,25,2.0,3,50,3.84,3.38,4.08,10.44,0,25
279,129.06,433,53,1.96,3,49,3.6,3.08,4.0,9.72,0,25
280,100.54,236,31,2.0,3,50,3.96,3.62,3.96,10.36,0,25
281,126.36,336,41,2.0,4,50,3.9,3.74,4.0,10.24,0,25
282,145.14,371,59,1.92,4,48,3.8,3.64,3.92,10.76,0,25
283,115.0,271,47,1.96,3,49,3.52,3.52,4.0,11.12,0,25
284,128.12,254,22,2.0,3,50,3.04,3.02,4.12,11.08,0,25
285,131.98,339,34,1.92,3,48,3.02,2.74,4.4,11.28,0,25
286,133.64,289,51,1.84,4,46,3.02,3.06,4.04,10.84,0,25
287,142.96,310,56,1.84,3,46,3.04,2.76,4.04,10.0,0,25
288,130.58,275,19,2.0,3,50,3.02,2.76,4.04,9.84,0,25
289,148.1,316,37,1.88,3,47,3.04,2.94,4.0,9.4,0,25
290,146.36,398,47,1.84,3,46,3.0,2.68,3.96,9.52,0,25
291,122.52,284,22,1.92,3,48,3.0,2.7,4.0,9.24,0,25
292,119.3,288,41,1.92,3,48,3.0,2.66,3.96,9.04,0,25
293,125.2,415,42,1.88,4,47,3.04,2.78,4.0,8.88,0,25
294,129.92,328,32,1.88,3,47,3.08,2.94,4.24,9.56,0,25
295,129.96,283,32,2.0,3,50,3.1,3.22,4.36,10.08,0,25
296,135.36,363,39,2.0,3,50,3.16,2.78,4.32,10.36,0,25
297,134.42,323,54,1.88,3,47,3.02,2.54,4.28,10.8,0,25
298,141.72,399,42,1.96,3,49,3.04,2.56,4.24,9.4,0,25
299,113.48,301,41,1.92,3,48,3.08,2.62,4.0,9.2,0,25
300,109.9,285,46,1.96,3,49,3.02,2.56,4.0,9.16,0,25
301,137.68,388,28,1.72,3,43,3.02,2.78,3.96,9.4,0,25
302,140.76,357,39,1.92,3,48,3.2,2.96,4.0,8.96,0,25
303,115.18,224,26,2.0,3,50,3.44,3.14,3.96,8.36,0,25
304,156.24,377,33,1.88,4,47,3.54,3.62,4.0,8.32,0,25
305,130.36,257,17,2.0,3,50,3.46,3.4,3.96,8.04,0,25
306,113.02,294,36,1.92,3,48,3.52,3.2,3.96,7.96,0,25
307,157.62,297,30,1.88,3,47,3.9,3.72,3.72,8.84,0,25
308,145.16,453,59,1.88,4,47,3.68,3.62,3.96,8.92,0,25
309,127.08,348,43,1.92,4,48,3.3,3.5,3.96,8.64,0,25
310,116.76,301,41,2.0,4,50,3.34,3.14,3.96,8.56,0,25
311,125.24,383,38,1.96,3,49,3.44,3.04,4.0,8.44,0,25
312,101.14,257,38,2.0,3,50,3.32,3.06,3.92,8.08,0,25
313,135.08,321,39,1.88,4,47,3.38,3.42,4.04,8.08,0,25
314,112.48,238,46,2.0,3,50,3.72,3.88,4.04,7.84,0,25
315,136.92,475,63,1.96,3,49,3.74,3.84,3.68,7.08,0,25
316,129.72,304,36,1.92,3,48,3.72,4.06,3.92,7.12,0,25
317,143.2,267,22,1.84,3,46,3.88,4.62,4.36,7.08,0,25
318,164.16,300,49,1.76,3,44,3.68,3.9,5.0,7.76,0,25
319,167.52,436,45,1.76,4,44,3.82,4.26,5.0,8.04,0,25
320,154.54,340,34,1.72,3,43,3.84,4.3,5.0,8.28,0,25
321,163.48,284,24,1.56,3,39,3.64,3.8,5.0,8.28,0,25
322,159.0,411,42,1.72,3,43,3.24,3.32,4.96,8.56,0,25
323,136.22,281,31,1.8,3,45,3.06,2.9,4.96,8.84,0,25
324,132.7,355,48,2.0,4,50,3.0,3.0,5.0,8.52,0,25
325,133.48,353,49,2.0,4,50,3.0,2.66,5.0,9.0,0,25
326,137.04,299,46,1.8,3,45,3.02,2.44,4.96,8.56,0,25
327,172.78,369,57,1.76,4,44,3.02,2.66,5.04,7.76,0,25
328,155.22,298,49,1.8,3,45,3.0,2.74,4.96,7.04,0,25
329,122.5,301,36,1.92,3,48,3.04,3.06,5.0,6.96,0,25
330,135.6,330,48,1.96,3,49,3.0,2.98,5.04,6.88,0,25
331,158.02,294,32,1.76,4,44,3.02,3.22,5.52,7.96,0,25
332,127.88,291,50,1.92,3,48,3.02,3.8,5.92,8.92,0,25
333,122.42,297,27,1.96,3,49,3.0,3.82,6.04,8.64,0,25
334,154.66,387,51,1.92,4,48,3.02,3.86,6.0,8.64,0,25
335,131.74,344,47,1.96,3,49,3.14,3.68,6.04,8.36,0,25
336,129.1,375,36,1.96,4,49,3.0,3.78,6.2,8.2,0,25
337,146.86,335,42,1.84,3,46,3.02,4.12,5.92,7.48,0,25
338,159.58,391,46,1.88,4,47,3.18,4.46,6.08,7.28,0,25
339,136.42,379,45,1.96,3,49,3.2,4.42,6.0,6.76,0,25
340,126.58,296,39,2.0,3,50,3.24,4.24,5.96,6.68,0,25
341,128.02,314,43,2.0,3,50,3.24,4.04,5.92,6.88,0,25
342,155.42,379,44,1.8,3,45,3.06,4.04,6.04,6.36,0,25
343,143.42,334,44,1.88,3,47,3.06,3.78,5.96,6.72,0,25
344,155.24,373,52,1.8,3,45,3.08,3.64,6.0,6.88,0,25
345,154.72,294,39,1.68,3,42,3.24,3.82,6.0,6.76,0,25
346,135.78,271,40,1.84,3,46,3.04,3.7,6.0,7.0,0,25
347,178.46,423,76,1.92,4,48,3.02,3.8,6.08,6.84,0,25
348,157.66,398,42,1.76,4,44,3.04,3.84,6.0,6.08,0,25
349,145.0,266,40,1.88,3,47,3.06,4.14,6.08,6.88,0,25
350,136.78,267,21,1.8,3,45,3.18,4.3,5.96,6.2,0,25
351,153.36,430,63,1.88,4,47,3.5,5.32,5.92,5.56,0,25
352,121.22,260,28,2.0,3,50,3.46,5.4,6.0,6.0,0,25
353,141.74,421,45,1.76,3,44,3.48,5.58,5.96,6.12,0,25
354,142.02,295,27,1.84,4,46,3.52,5.62,6.04,6.04,0,25
355,148.72,361,46,1.8,3,45,3.48,5.64,6.04,5.76,0,25
356,131.92,275,22,1.92,3,48,3.48,6.0,6.0,5.84,0,25
357,124.9,354,47,1.96,4,49,3.44,5.54,6.0,6.36,0,25
358,119.34,372,34,2.0,3,50,3.5,5.44,6.0,6.36,0,25
359,134.8,333,43,1.92,3,48,3.48,4.9,6.0,6.6,0,25
360,162.52,438,51,1.8,3,45,3.64,4.86,6.0,6.32,0,25
361,134.26,351,42,1.96,3,49,3.58,4.9,5.96,6.44,0,25
362,133.94,288,41,1.88,3,47,3.46,4.72,6.0,6.24,0,25
363,114.84,341,23,1.96,4,49,3.52,5.02,6.04,5.64,0,25
364,135.94,361,33,1.84,3,46,3.4,4.6,6.0,5.76,0,25
365,143.8,377,41,1.96,3,49,3.46,4.98,6.0,5.48,0,25
366,138.6,343,48,1.8,3,45,3.48,4.84,6.0,5.48,0,25
367,132.0,363,55,2.0,3,50,3.7,5.24,5.96,5.52,0,25
368,127.76,329,50,1.96,4,49,3.74,5.0,6.0,5.64,0,25
369,133.06,278,46,1.96,3,49,3.96,5.62,5.92,5.84,0,25
370,148.52,308,40,1.8,3,45,4.02,5.66,6.0,5.64,0,25
371,136.4,345,46,1.92,3,48,3.96,5.22,6.0,5.48,0,25
372,153.76,385,50,1.88,3,47,4.0,5.08,6.0,6.04,0,25
373,142.5,321,31,1.84,3,46,3.96,5.16,6.28,6.96,0,25
374,148.24,355,54,1.92,4,48,4.04,5.42,6.56,7.12,0,25
375,155.02,436,56,1.96,5,49,4.0,5.42,7.04,8.08,0,25
376,134.34,296,41,1.96,3,49,4.02,5.4,7.12,7.4,0,25
377,142.52,333,41,1.76,3,44,3.98,4.84,7.0,7.4,0,25
378,140.6,295,44,1.92,3,48,4.02,5.74,6.96,7.24,0,25
379,124.88,310,57,2.0,3,50,4.02,5.46,7.04,6.92,0,25
380,122.38,309,42,1.96,3,49,4.18,5.46,7.0,7.28,0,25
381,126.52,267,27,1.96,3,49,4.22,5.16,7.0,7.08,0,25
382,134.88,278,30,1.88,3,47,4.32,5.38,7.0,6.92,0,25
383,113.7,266,37,1.96,3,49,4.36,5.28,6.96,6.24,0,25
384,130.64,312,40,2.0,3,50,4.24,4.76,7.04,6.56,0,25
385,141.38,302,39,1.84,3,46,4.06,4.3,7.0,6.8,0,25
386,132.84,335,55,1.92,3,48,4.14,4.36,7.04,6.76,0,25
387,142.56,436,45,1.76,3,44,4.2,4.74,6.92,6.88,0,25
388,108.92,278,27,2.0,3,50,4.1,4.58,6.96,7.52,0,25
389,158.86,359,27,1.8,3,45,4.18,4.68,7.0,7.88,0,25
390,128.94,319,41,1.88,3,47,4.06,4.34,6.96,7.68,0,25
391,135.08,297,31,1.84,3,46,4.16,4.86,7.0,8.2,0,25
392,142.82,349,43,1.96,3,49,4.22,4.86,7.04,8.84,0,25
393,180.34,373,42,1.8,4,45,4.4,4.8,6.92,7.52,0,25
394,137.66,299,48,1.96,3,49,4.12,4.06,7.04,7.52,0,25
395,136.46,307,41,1.8,4,45,4.06,4.62,6.92,7.52,0,25
396,120.04,268,38,2.0,3,50,4.08,4.46,7.0,7.96,0,25
397,135.62,289,32,1.92,3,48,4.16,4.78,6.96,7.84,0,25
398,129.56,349,40,1.88,3,47,4.32,5.58,7.04,7.48,0,25
399,131.16,377,42,1.92,4,48,4.2,5.06,6.96,7.12,0,25
400,132.94,341,53,1.96,3,49,4.24,4.9,7.0,7.28,0,25
401,156.64,312,40,1.84,3,46,4.02,5.04,7.04,7.68,0,25
402,163.92,296,44,1.72,3,43,3.9,4.96,7.24,7.68,0,25
403,141.72,304,40,1.88,3,47,3.94,5.34,7.52,8.12,0,25
404,127.52,338,46,2.0,3,50,4.14,5.82,7.72,8.48,0,25
405,148.38,426,60,1.88,4,47,4.14,5.58,7.72,8.4,0,25
406,154.0,345,61,2.0,4,50,4.3,5.52,8.04,8.72,0,25
407,148.3,353,64,2.0,4,50,4.22,5.66,8.04,8.76,0,25
408,125.32,364,48,2.0,3,50,4.36,6.22,8.12,8.96,0,25
409,129.28,345,34,1.92,3,48,4.36,6.44,8.0,8.36,0,25
410,126.9,337,21,1.96,4,49,4.36,6.52,8.0,8.44,0,25
411,130.4,289,39,1.96,3,49,4.48,6.78,8.36,9.04,0,25
412,132.44,370,34,1.92,3,48,4.6,6.86,8.04,8.12,0,25
413,129.9,335,64,1.96,4,49,4.42,6.52,8.0,7.72,0,25
414,160.88,368,46,1.84,4,46,4.3,6.42,8.04,7.92,0,25
415,121.8,266,29,1.92,3,48,4.44,6.04,8.08,7.88,0,25
416,146.78,333,38,1.92,3,48,4.44,6.5,8.2,8.68,0,25
417,138.34,419,56,2.0,3,50,4.46,6.26,8.2,8.6,0,25
418,143.74,326,30,1.92,3,48,4.46,6.18,8.08,8.2,0,25
419,114.7,277,37,2.0,3,50,4.54,6.3,8.2,8.44,0,25
420,159.64,377,67,1.96,4,49,4.56,6.32,8.04,8.24,0,25
421,145.4,369,42,2.0,3,50,4.56,6.56,7.96,8.16,0,25
422,121.28,264,31,2.0,3,50,4.62,6.2,7.96,8.0,0,25
423,179.58,483,57,1.8,4,45,4.72,6.32,8.0,8.28,0,25
424,124.68,323,49,2.0,4,50,4.5,5.48,7.96,7.92,0,25
425,130.36,286,23,1.68,3,42,4.66,6.02,8.0,8.4,0,25
426,129.24,312,40,1.96,3,49,4.74,6.38,8.0,8.68,0,25
427,161.44,370,58,1.8,4,45,4.68,6.52,8.0,8.8,0,25
428,140.36,290,21,1.72,3,43,4.68,7.12,8.0,8.76,0,25
429,115.38,280,37,1.96,3,49,4.6,6.5,7.56,8.16,0,25
430,164.96,323,47,1.8,4,45,4.4,6.2,7.52,7.84,0,25
431,133.6,301,56,1.88,3,47,4.52,6.28,7.76,8.88,0,25
432,146.32,279,36,1.84,3,46,4.64,6.68,7.68,9.16,0,25
433,132.74,303,44,1.88,3,47,4.58,6.74,7.96,8.28,0,25
434,147.46,366,43,1.8,4,45,4.56,7.0,7.96,8.72,0,25
435,140.6,381,45,1.96,3,49,4.66,7.16,8.0,8.56,0,25
436,130.84,307,37,1.84,3,46,4.58,6.7,8.04,8.72,0,25
437,128.04,267,31,1.96,3,49,4.58,6.6,7.96,8.52,0,25
438,116.9,273,27,2.0,3,50,4.66,7.12,8.0,8.8,0,25
439,152.7,372,38,1.76,3,44,4.66,6.7,8.0,9.48,0,25
440,128.1,389,40,1.92,4,48,4.78,7.28,8.04,9.64,0,25
441,140.16,297,46,1.96,3,49,4.8,7.6,8.0,10.08,0,25
442,139.72,321,47,1.96,3,49,4.62,6.64,7.96,9.6,0,25
443,182.08,461,57,1.8,3,45,4.76,7.36,8.0,9.56,0,25
444,127.66,268,47,1.96,3,49,4.8,7.7,7.96,9.72,0,25
445,145.02,338,47,1.84,3,46,4.68,7.32,8.0,10.04,0,25
446,130.9,305,48,1.96,3,49,4.46,6.92,8.0,9.96,0,25
447,156.44,331,52,1.92,3,48,4.42,6.64,8.08,10.0,0,25
448,112.98,351,32,2.0,4,50,4.16,6.28,8.36,9.0,0,25
449,148.78,332,44,1.84,4,46,4.36,6.66,8.0,8.2,0,25
450,149.02,371,53,1.84,4,46,4.16,6.78,7.72,7.56,0,25
451,154.0,292,29,1.8,3,45,4.18,6.46,7.84,8.04,0,25
452,160.46,360,41,1.84,4,46,4.12,6.08,7.68,8.2,0,25
453,141.32,409,61,1.96,4,49,4.3,6.02,8.0,9.72,0,25
454,137.46,340,36,1.88,3,47,4.4,5.84,8.04,10.08,0,25
455,145.58,338,32,1.96,4,49,4.36,5.92,7.96,10.52,0,25
456,137.84,271,44,1.96,3,49,4.04,5.88,8.2,10.84,0,25
457,132.66,321,36,1.88,3,47,3.86,5.1,8.64,11.88,0,25
458,129.26,280,32,1.92,3,48,3.78,5.14,8.8,12.52,0,25
459,119.84,280,39,2.0,3,50,3.74,4.82,8.48,12.0,0,25
460,161.2,330,44,1.8,4,45,3.6,4.96,8.36,11.76,0,25
461,147.2,313,35,1.64,3,41,3.46,5.56,8.0,10.6,0,25
462,153.78,394,47,1.88,4,47,3.46,4.94,7.92,10.72,0,25
463,119.74,261,27,2.0,3,50,3.58,4.64,8.0,10.76,0,25
464,136.84,281,32,1.68,3,42,3.48,3.76,8.04,11.16,0,25
465,111.38,277,34,2.0,3,50,3.44,4.16,8.04,10.96,0,25
466,136.26,266,31,1.96,3,49,3.32,3.72,8.04,11.28,0,25
467,145.08,278,34,2.0,3,50,3.68,3.6,7.92,10.96,0,25
468,144.84,455,63,1.84,4,46,3.68,3.18,8.0,11.24,0,25
469,134.74,325,50,1.92,3,48,3.86,3.56,7.96,10.8,0,25
470,150.32,302,42,1.8,3,45,3.82,3.68,8.0,10.92,0,25
471,135.0,318,30,1.88,3,47,3.68,3.96,8.0,11.72,0,25
472,127.0,385,50,1.96,3,49,3.88,3.78,8.0,11.4,0,25
473,146.16,326,56,1.84,3,46,3.78,3.92,7.92,11.56,0,25
474,106.46,301,35,2.0,3,50,3.8,4.6,8.0,11.2,0,25
475,136.36,308,46,1.96,3,49,3.8,4.64,8.0,11.6,0,25
476,158.54,344,66,1.8,3,45,3.74,4.24,8.0,11.84,0,25
477,133.66,355,37,1.84,4,46,3.66,3.84,7.96,11.92,0,25
478,138.82,340,49,1.92,3,48,3.68,4.02,8.0,12.16,0,25
479,149.48,390,36,1.8,4,45,3.96,4.04,7.96,11.88,0,25
480,135.8,278,27,1.92,3,48,3.98,4.5,8.0,12.4,0,25
481,137.72,389,39,1.92,3,48,4.08,4.0,8.04,12.36,0,25
482,144.12,299,38,1.84,4,46,4.04,3.18,8.0,12.32,0,25
483,143.14,348,46,1.88,3,47,4.02,3.26,8.0,13.08,0,25
484,167.78,386,59,1.8,3,45,4.08,3.44,8.04,13.64,0,25
485,140.4,313,31,1.88,3,47,4.0,3.42,8.0,13.44,0,25
486,138.96,448,65,1.96,4,49,4.02,3.3,7.96,13.36,0,25
487,151.56,356,42,1.84,4,46,4.02,3.2,7.8,13.16,0,25
488,162.02,308,40,1.52,4,38,4.0,3.56,7.88,13.72,0,25
489,119.26,381,30,1.88,4,47,4.0,3.26,8.0,14.08,0,25
490,151.24,351,34,1.84,3,46,4.06,3.16,8.0,14.4,0,25
491,135.88,371,53,1.92,3,48,4.22,3.52,8.0,14.16,0,25
492,154.9,333,47,1.84,3,46,4.06,3.12,8.04,14.6,0,25
493,118.16,356,36,1.92,4,48,4.26,3.7,8.0,14.64,0,25
494,153.08,314,40,1.76,4,44,4.64,4.24,8.0,15.0,0,25
495,148.38,357,37,1.76,4,44,4.98,5.06,7.96,14.8,0,25
496,124.66,291,47,2.0,3,50,5.02,5.44,7.76,14.56,0,25
497,142.4,295,26,1.8,3,45,4.96,5.7,8.0,15.12,0,25
498,132.0,292,50,1.84,3,46,4.98,5.44,8.04,14.76,0,25
499,118.38,322,48,2.0,3,50,4.98,5.34,8.0,14.76,0,25
500,141.92,389,55,1.92,4,48,5.06,5.44,8.04,14.84,0,25
